Sr no,year,month,domestic,foreign,native,total
99,2008,Mar,198047,16091,3536,217674
100,2008,Apr,200240,42847,3638,246725
101,2008,May,51724,43958,4403,100085
102,2008,Jun,194984,12922,2238,210144
103,2008,Jul,242898,13842,3049,259789
104,2008,Aug,105939,11112,1144,118195
105,2008,Sep,90772,31438,3083,125293
106,2008,Oct,72719,38970,2078,113767
107,2008,Nov,209738,59038,2476,271252
108,2008,Dec,231703,47055,1193,279951
109,2009,Jan,220788,13215,2645,236648
110,2009,Feb,132755,20290,2837,155882
111,2009,Mar,110886,40796,2796,154478
112,2009,Apr,223564,43137,2652,269353
113,2009,May,62650,7924,3911,74485
114,2009,Jun,241068,27800,3478,272346
115,2009,Jul,225777,10520,4231,240528
116,2009,Aug,79538,31039,4965,115542
117,2009,Sep,139436,25806,2815,168057
118,2009,Oct,150956,22024,1752,174732
119,2009,Nov,99522,53011,3499,156032
120,2009,Dec,78513,7092,3192,88797
121,2010,Jan,181734,46103,4326,232163
122,2010,Feb,87370,34715,4186,126271
123,2010,Mar,203338,12465,4201,220004
124,2010,Apr,148576,36769,3136,188481
125,2010,May,182551,24645,4533,211729
126,2010,Jun,97708,48733,3596,150037
127,2010,Jul,65769,29693,4188,99650
128,2010,Aug,125682,34027,3681,163390
129,2010,Sep,219338,50337,4973,274648
130,2010,Oct,95360,57007,2366,154733
131,2010,Nov,234439,41646,3191,279276
132,2010,Dec,153898,45426,4202,203526
133,2011,Jan,54719,18815,4879,78413
134,2011,Feb,161607,25437,3490,190534
135,2011,Mar,211580,38268,2750,252598
136,2011,Apr,235473,33902,1581,270956
137,2011,May,169652,30222,1446,201320
138,2011,Jun,97258,18762,4638,120658
139,2011,Jul,138659,40522,1988,181169
140,2011,Aug,152793,41034,3260,197087
141,2011,Sep,145840,32432,2707,180979
142,2011,Oct,154024,26955,4626,185605
143,2011,Nov,94730,51146,3815,149691
144,2011,Dec,191607,33485,4962,230054
145,2012,Jan,130677,58653,2240,191570
146,2012,Feb,123773,44473,2518,170764
147,2012,Mar,126338,39263,2406,168007
148,2012,Apr,89775,22152,2787,114714
149,2012,May,211364,26694,3993,242051
150,2012,Jun,92629,31366,2269,126264
151,2012,Jul,218350,57718,3240,279308
152,2012,Aug,216970,11639,4259,232868
153,2012,Sep,80880,20045,4393,105318
154,2012,Oct,203046,18915,4992,226953
155,2012,Nov,109183,5639,4803,119625
156,2012,Dec,241880,44504,4738,291122
157,2013,Jan,67345,39537,4298,111180
158,2013,Feb,148180,10059,1478,159717
159,2013,Mar,140089,44060,2753,186902
160,2013,Apr,248827,25980,1461,276268
161,2013,May,204115,8391,2763,215269
162,2013,Jun,73715,10506,4691,88912
163,2013,Jul,124042,47039,4820,175901
164,2013,Aug,246247,58889,1577,306713
165,2013,Sep,192368,50063,1090,243521
166,2013,Oct,171380,12718,4583,188681
167,2013,Nov,99459,38626,2714,140799
168,2013,Dec,154881,48429,2422,205732
169,2014,Jan,200980,4893,4677,210550
170,2014,Feb,209966,34917,4781,249664
171,2014,Mar,191117,12136,2190,205443
172,2014,Apr,242878,49118,2975,294971
173,2014,May,165361,13497,3763,182621
174,2014,Jun,101353,48795,2549,152697
175,2014,Jul,142308,52680,1168,196156
176,2014,Aug,127321,5009,2751,135081
177,2014,Sep,123104,5987,4211,133302
178,2014,Oct,241078,15997,4867,261942
179,2014,Nov,138211,55054,3022,196287
180,2014,Dec,85981,30281,2857,119119
181,2015,Jan,241423,38435,3398,283256
182,2015,Feb,234546,56900,1105,292551
183,2015,Mar,175767,54695,1750,232212
184,2015,Apr,197325,5651,3114,206090
185,2015,May,211149,52982,3197,267328
186,2015,Jun,188718,19356,1564,209638
187,2015,Jul,123108,29514,1574,154196
188,2015,Aug,94028,28418,2124,124570
189,2015,Sep,177871,59290,1090,238251
190,2015,Oct,162841,17056,2348,182245
191,2015,Nov,226205,39411,1354,266970
192,2015,Dec,140984,51893,4618,197495
193,2016,Jan,220928,26726,1721,249375
194,2016,Feb,237431,14547,1255,253233
195,2016,Mar,191614,25132,2398,219144
196,2016,Apr,92865,54262,2274,149401
197,2016,May,126038,27890,1704,155632
198,2016,Jun,248513,39097,1929,289539
199,2016,Jul,104426,35892,4156,144474
200,2016,Aug,169073,36446,1378,206897
201,2016,Sep,136601,8798,3919,149318
202,2016,Oct,218487,5420,1844,225751
203,2016,Nov,55472,6976,2134,64582
204,2016,Dec,196652,34877,4155,235684
205,2017,Jan,190735,42547,2141,235423
206,2017,Feb,107676,17779,3055,128510
207,2017,Mar,97989,26131,3792,127912
208,2017,Apr,90532,57482,4804,152818
209,2017,May,233002,4155,2629,239786
210,2017,Jun,217069,5536,2402,225007
211,2017,Jul,212232,12195,4757,229184
212,2017,Aug,153510,34133,4526,192169
213,2017,Sep,136467,11215,4882,152564
214,2017,Oct,70461,56300,2327,129088
215,2017,Nov,69613,50277,3440,123330
216,2017,Dec,227947,46868,2884,277699
217,2018,Jan,94925,32013,4567,131505
218,2018,Feb,71655,59101,4824,135580
219,2018,Mar,122771,28605,1000,152376
220,2018,Apr,107678,52758,4574,165010
221,2018,May,91251,42208,2180,135639
222,2018,Jun,87282,12130,3357,102769
223,2018,Jul,243650,44694,2513,290857
224,2018,Aug,243085,40830,3664,287579
225,2018,Sep,179224,4036,2874,186134
226,2018,Oct,66419,42829,2792,112040
227,2018,Nov,145392,26986,4599,176977
228,2018,Dec,199156,58103,3896,261155
229,2019,Jan,104239,22695,4137,131071
230,2019,Feb,195748,18565,2900,217213
231,2019,Mar,77178,56905,1587,135670
232,2019,Apr,210845,6291,2652,219788
233,2019,May,115464,51716,3870,171050
234,2019,Jun,147896,4331,2637,154864
235,2019,Jul,156258,28580,2844,187682
236,2019,Aug,93338,36361,3258,132957
237,2019,Sep,243226,41977,4528,289731
238,2019,Oct,233117,45706,3578,282401
239,2019,Nov,218199,12761,3114,234074
240,2019,Dec,225769,26703,3601,256073
241,2020,Jan,79371,56139,4122,139632
242,2020,Feb,199626,19861,1410,220897
243,2020,Mar,137347,35663,3186,176196
244,2020,Apr,78480,44850,4410,127740
245,2020,May,125060,40526,4799,170385
246,2020,Jun,220153,44567,3515,268235
247,2020,Jul,187783,29677,3935,221395
248,2020,Aug,166325,59079,1921,227325
249,2020,Sep,243858,59175,3070,306103
250,2020,Oct,195933,38173,1884,235990
251,2020,Nov,190398,29780,4250,224428
252,2020,Dec,210934,32351,1231,244516
253,2021,Jan,160051,31385,3309,194745
254,2021,Feb,210753,23164,2099,236016
255,2021,Mar,98295,19258,1675,119228
256,2021,Apr,91173,33354,4138,128665
257,2021,May,178104,49762,4232,232098
258,2021,Jun,135515,51902,3353,190770
259,2021,Jul,58527,20135,4103,82765
260,2021,Aug,201845,5041,2472,209358
261,2021,Sep,162090,42320,2495,206905
262,2021,Oct,192435,47021,3729,243185
263,2021,Nov,186670,8493,3938,199101
264,2021,Dec,89132,40555,4282,133969
265,2022,Jan,195031,34705,2341,232077
266,2022,Feb,217987,44260,3485,265732
267,2022,Mar,162587,13959,4202,180748
268,2022,Apr,213525,19809,1772,235106
269,2022,May,216774,52898,1376,271048
270,2022,Jun,214737,38360,1359,254456
271,2022,Jul,63202,14278,1657,79137
272,2022,Aug,112373,27839,3062,143274
273,2022,Sep,217870,42411,3364,263645
274,2022,Oct,236812,6988,3774,247574
275,2022,Nov,87879,16076,4193,108148
276,2022,Dec,194538,12279,1081,207898
277,2023,Jan,112464,50028,4791,167283
278,2023,Feb,140030,59654,2773,202457
279,2023,Mar,77662,23616,2328,103606
280,2023,Apr,108999,50475,3821,163295
281,2023,May,60035,12163,3861,76059
282,2023,Jun,137142,38538,4343,180023
283,2023,Jul,61075,52802,3213,117090
284,2023,Aug,92489,9623,3085,105197
285,2023,Sep,126896,58786,3550,189232
286,2023,Oct,68818,57090,3102,129010
287,2023,Nov,180444,58422,1400,240266
288,2023,Dec,61204,46303,4443,111950
289,2024,Jan,112465,50029,4792,167286
290,2024,Feb,140031,59655,2774,202460
291,2024,Mar,77663,23617,2329,103609
292,2024,Apr,109000,50476,3822,163298
293,2024,May,60036,12164,3862,76062
294,2024,Jun,137143,38539,4344,180026
295,2024,Jul,61076,52803,3214,117093
296,2024,Aug,92490,9624,3086,105200
297,2024,Sep,126897,58787,3551,189235
298,2024,Oct,68819,57091,3103,129013
299,2024,Nov,180445,58423,1401,240269
300,2024,Dec,61205,46304,4444,111953
